plot,Rep,Row,Column,taxa,Anthesis,Silking,Silking.sp,Anthesis.sp,Silking.sp.sp
1577,1,21,17,PHWG5,77,78,76.3702611794418,74.5550192443422,76.3701190569506
1578,1,21,18,LH214,76,77,75.8506777012671,74.0382677770294,75.8505651417846
1579,1,21,19,LH252,79,86,80.3309971280501,75.5215654894775,80.3309172733218
1580,1,21,20,SD44,67,68,71.3111698373951,69.5048889969173,71.31112664641
1581,1,21,21,A632,72,73,73.7911410839381,71.9882142052617,73.7911394591906
1582,1,21,22,792,71,73,73.7708879385269,71.4715269247164,73.7709330544871
1583,1,21,23,NC350,81,81,77.7504611716242,76.4548353859706,77.7505569116317
1584,1,21,24,DJ7,76,77,75.7299135340637,73.9381473476638,75.7300625525585
1585,1,21,25,H121,76,82,78.2092863016143,73.9214656541956,78.2094904038562
1586,1,21,26,2369,73,76,75.188604232813,72.4047876924849,75.1888647412735
1587,1,21,27,KUNG-70,72,73,73.6678826749741,71.888107994162,73.6682006197732
1588,1,21,28,PHW17,73,76,75.1471571179885,72.3714291982061,75.147532702286
1589,1,22,1,H14,77,89,82.074225703769,74.7655579736771,82.0747422196954
1590,1,22,2,PHN41,71,71,73.0635665460207,71.7518447606916,73.0639562070386
1591,1,22,3,W22,72,76,75.5526789913894,72.2380813250615,75.5529463076681
1592,1,22,4,AM0776,68,71,73.0414166482816,70.2242420736787,73.0415693099817
1593,1,22,5,PHG29,68,72,73.5296388620864,70.2103055322582,73.5296877389565
1594,1,22,6,ICI_893,77,78,76.5172056545272,74.6962517560021,76.5171649118792
1595,1,22,7,1538,64,65,70.0039823919816,68.1820634706934,70.0038695158568
1596,1,22,8,F7,59,59,66.9899163528788,65.6677444838724,66.9897502735498
1597,1,22,9,PHV07,72,76,75.4750344430077,72.1533188170972,75.4748336991808
1598,1,22,10,LH159,81,85,79.9594876130937,76.6388408429729,79.9592674803691
1599,1,22,11,B97,72,77,75.9434637440312,72.1243710088756,75.9432353977449
1600,1,22,12,NC262,71,78,76.4270791903382,71.6099404480779,76.4268514324622
1601,1,22,13,PHBB3,72,78,76.410427081275,72.0955712184642,76.4102068518718
1602,1,22,14,Va85,76,76,75.393588268181,74.0812813202255,75.3933808296822
1603,1,22,15,TZU-CHIAO-HSI-WU_105,76,77,75.8766231150315,74.0670808071022,75.8764324463403
1604,1,22,16,B99,72,79,76.8595647804568,72.0529692598254,76.8593941153927
1605,1,22,17,B97,72,77,75.8424049188719,72.0389331963338,75.842257634334
1606,1,22,18,B97,73,77,75.825106301279,72.5249499259298,75.8249865110377
1607,1,22,19,R226,77,79,76.8076442422773,74.510999106256,76.8075563323601
1608,1,22,20,B97,76,77,75.7899953436057,73.9970597182546,75.7899438607725
1609,1,22,21,DKMBNA,68,73,73.772117630804,69.9831034396005,73.7721076954963
1610,1,22,22,PHT60,71,72,73.2539963657844,71.469110506475,73.2540330784827
1611,1,22,23,PHG84,77,81,77.7356876973757,74.4550842673793,77.7357745927453
1612,1,22,24,29MIBZ2,64,67,70.717244107801,67.9410278318152,70.7173833864476
1613,1,22,25,LH223,68,69,71.6986997549507,69.9269398126382,71.6988928882312
1614,1,22,26,B97,72,76,75.1800720580909,71.9128169059682,75.1803202760154
1615,1,22,27,PHEM7,61,62,68.1613712136486,66.3986563769077,68.1616757367266
1616,1,22,28,CML_108,84,98,86.142642388117,77.8844688999783,86.1430035924645
1617,1,23,1,NKBCC03,72,77,76.0149235785881,72.2099189736659,76.015412559888
1618,1,23,2,PHT11,72,73,74.0059521068407,72.1986446176609,74.0063238104995
1619,1,23,3,B75,71,73,73.9967905454106,71.6873321648321,73.9970487520656
1620,1,23,4,LH127,71,71,72.9872999469923,71.675957613484,72.9874514815692
1621,1,23,5,PHGV6,81,81,77.9773380589415,76.6644979359231,77.9773929514465
1622,1,23,6,DK78002A,71,73,73.9667658564577,71.6529321171762,73.9667373898867
1623,1,23,7,NK740,71,76,75.455455323863,71.6412433768803,75.4553599266832
1624,1,23,8,PHPR5,71,73,73.9433718112206,71.6294417727345,73.9432269407371
1625,1,23,9,B90,73,76,75.4305654849484,72.6175609409176,75.430387688155
1626,1,23,10,WU-TAN-TZAO,76,77,75.9171858340181,74.1056575475444,75.9169884292744
1627,1,23,11,CML_91,86,89,81.9034083112371,79.0937907537798,81.9032007790714
1628,1,23,12,LH225,66,68,71.3893376207223,69.0819893921081,71.3891272441829
1629,1,23,13,CO258,76,77,75.8750508385862,74.0702715079636,75.874843296313
1630,1,23,14,MS224,71,78,76.3606023156889,71.5586477592771,76.360402101306
1631,1,23,15,B97,76,78,76.3460187342327,74.0471179212313,76.3458297298633
1632,1,23,16,YE_4,73,76,75.3312926402011,72.535668131934,75.3311188341404
1633,1,23,17,L222,68,68,71.3163833672767,70.024272391694,71.3162295578078
1634,1,23,18,Huanyao,72,76,75.3012335247847,72.0128981405508,75.3011056482039
1635,1,23,19,PHT47,73,76,75.2858382686972,72.5015282679229,75.2857420885861
1636,1,23,20,B97,73,78,76.2702105800224,72.4901499765627,76.2701512403175
1637,1,23,21,LH164,66,67,70.7543396601861,68.9787396984958,70.7543222652101
1638,1,23,22,A661,63,66,70.2382335432809,67.4672798401188,70.2382627254707
1639,1,23,23,LH184,76,76,75.2219551535417,73.955772095193,75.2220337978
1640,1,23,24,SD40,71,77,75.7055547012936,71.444217229942,75.7056843698453
1641,1,23,25,C103,71,76,75.1890552425426,71.432611448416,75.1892369850332
1642,1,23,26,CM105,63,64,69.1724646241039,67.4209513779319,69.1726994974928
1643,1,23,27,Va35,73,76,75.1557853463502,72.4092360478042,75.1560746560186
1644,1,23,28,Os420,68,76,75.139056676701,69.8974780927543,75.1394011059478
1645,1,24,1,N209,73,76,75.4585483631775,72.6572777301094,75.4590052334689
1646,1,24,2,B65,76,76,75.4510991461142,74.1483339530586,75.4514504345247
1647,1,24,3,NQ508,71,73,73.9435092130428,71.6393654386143,73.9437578475556
1648,1,24,4,PHK29,76,77,75.9356545236924,74.1303499768393,75.935806226686
1649,1,24,5,YELLOW_3-4,67,67,70.9273983747099,69.6212641736357,70.927461967033
1650,1,24,6,W182B,64,64,69.4186083986254,68.1120883089159,69.4185957726208
1651,1,24,7,PHG80,71,71,72.9091665433504,71.6028095734863,72.9090924279256
1652,1,24,8,PHWRZ,71,71,72.8990514912486,71.5934441117186,72.8989312593933
1653,1,24,9,B46,76,79,76.8883251809001,74.0840317242885,76.8881729443477
1654,1,24,10,B84,76,76,75.3771194167618,74.0746247878829,75.376946341015
1655,1,24,11,ICI_193,68,71,72.8655810184181,70.0652738691434,72.8653949413399
1656,1,24,12,B91,76,79,76.853795103724,74.0560007704787,76.8536019510387
1657,1,24,13,B73Htrhm,77,78,76.3418175589503,74.5468160633688,76.3416219941472
